Raw Value,Filtered Value,Anomaly,Latency (ms),Jitter (ms)
84.05,66.63,false,15.470,0.160
34.36,54.54,false,15.504,0.034
98.26,64.50,false,15.061,0.444
92.22,71.49,false,15.482,0.421
93.51,80.48,true,14.941,0.541
80.80,79.83,false,15.960,1.019
30.84,79.13,false,15.678,0.282
35.56,66.59,false,15.748,0.070
43.44,56.83,false,15.886,0.138
62.96,50.72,false,15.330,0.557
74.72,49.51,false,15.564,0.234
64.57,56.25,false,15.446,0.118
37.83,56.70,false,15.363,0.083
70.96,62.21,false,17.804,2.441
54.42,60.50,false,4.653,13.150
69.59,59.47,false,11.057,6.404
58.20,58.20,false,16.100,5.043
50.00,60.64,false,15.574,0.526
40.79,54.60,false,17.258,1.683
87.83,61.28,false,15.369,1.889
88.44,65.05,false,17.061,1.692
86.29,70.67,false,13.909,3.152
69.38,74.55,false,15.922,2.013
46.26,75.64,false,15.804,0.118
54.78,69.03,false,15.454,0.351
90.96,69.53,false,16.319,0.865
54.10,63.10,false,15.734,0.584
47.37,58.69,false,15.943,0.208
89.51,67.34,false,14.846,1.097
89.53,74.29,false,15.637,0.791
31.19,62.34,false,15.773,0.136
54.82,62.48,false,15.469,0.304
80.89,69.19,false,15.963,0.494
71.69,65.62,false,15.428,0.536
41.22,55.96,false,15.941,0.514
84.26,66.58,false,15.875,0.067
55.24,66.66,false,15.000,0.875
92.37,68.96,false,14.882,0.118
41.36,62.89,false,16.218,1.337
86.46,71.94,false,15.561,0.657
51.91,65.47,false,15.177,0.384
99.05,74.23,false,15.953,0.776
56.17,66.99,false,15.517,0.436
58.70,70.46,false,15.783,0.265
40.63,61.29,false,15.612,0.170
32.18,57.35,false,15.664,0.051
52.49,48.03,false,15.980,0.317
96.60,56.12,false,15.418,0.562
75.60,59.50,false,15.816,0.398
49.31,61.24,false,15.843,0.027
46.83,64.17,false,15.653,0.190
67.29,67.13,false,5.338,10.315
35.75,54.95,false,11.876,6.538
95.05,58.84,false,15.683,3.807
42.54,57.49,false,15.679,0.005
98.32,67.79,false,15.837,0.158
96.79,73.69,false,15.601,0.236
46.68,75.88,false,15.588,0.013
84.47,73.76,false,15.304,0.284
35.84,72.42,false,15.745,0.441
45.45,61.85,false,15.835,0.091
56.92,53.87,false,15.822,0.013
50.09,54.55,false,15.621,0.202
49.61,47.58,false,15.410,0.210
33.42,47.10,false,15.505,0.095
65.94,51.20,false,15.624,0.119
90.08,57.83,false,15.932,0.308
80.19,63.85,false,15.552,0.380
38.39,61.60,false,15.315,0.236
70.86,69.09,false,15.516,0.200
88.73,73.65,false,16.068,0.553
83.45,72.32,false,15.755,0.314
65.84,69.45,false,15.088,0.667
85.83,78.94,false,15.728,0.640
70.44,78.86,false,16.165,0.438
91.26,79.36,false,15.538,0.628
70.48,76.77,false,15.461,0.077
77.13,79.03,false,15.742,0.281
91.94,80.25,true,12.047,3.695
74.02,80.97,true,15.458,3.412
97.32,82.18,true,4.616,10.843
32.64,74.61,false,11.591,6.976
82.82,75.75,false,16.031,4.440
69.59,71.28,false,15.660,0.370
70.08,70.49,false,15.963,0.302
53.51,61.73,false,15.419,0.543
36.11,62.42,false,15.759,0.340
83.68,62.59,false,17.345,1.586
59.60,60.60,false,15.630,1.715
46.85,55.95,false,15.829,0.200
50.54,55.36,false,15.485,0.344
49.54,58.04,false,14.771,0.714
43.77,50.06,false,15.825,1.054
66.92,51.52,false,15.018,0.808
32.17,48.59,false,15.466,0.448
93.59,57.20,false,16.083,0.617
60.38,59.37,false,15.756,0.327
86.16,67.84,false,15.750,0.006
67.45,67.95,false,15.415,0.335
60.07,73.53,false,15.698,0.283
42.56,63.32,false,14.755,0.943
83.36,67.92,false,15.458,0.703
56.59,62.01,false,15.524,0.066
99.23,68.36,false,14.963,0.561
32.30,62.81,false,15.409,0.446
64.61,67.22,false,15.561,0.151
81.33,66.81,false,15.825,0.264
31.13,61.72,false,15.284,0.541
38.67,49.61,false,15.729,0.445
32.11,49.57,false,15.783,0.054
72.14,51.07,false,15.775,0.008
95.81,53.97,false,15.570,0.205
96.33,67.01,false,16.093,0.523
92.59,77.80,false,15.461,0.632
41.43,79.66,false,15.248,0.213
37.27,72.69,false,15.705,0.457
83.74,70.27,false,15.031,0.674
30.09,57.02,false,15.616,0.585
90.20,56.55,false,14.929,0.687
64.57,61.17,false,16.279,1.350
79.05,69.53,false,3.958,12.321
58.31,64.44,false,12.128,8.170
77.04,73.83,false,16.202,4.074
70.68,69.93,false,14.767,1.435
30.12,63.04,false,16.020,1.253
49.58,57.14,false,15.307,0.713
91.16,63.72,false,15.920,0.613
51.86,58.68,false,14.937,0.983
83.82,61.31,false,15.320,0.383
67.71,68.83,false,15.710,0.391
68.22,72.56,false,15.356,0.354
42.45,62.81,false,15.792,0.436
38.66,60.17,false,17.422,1.629
91.92,61.79,false,15.636,1.786
55.48,59.35,false,15.736,0.100
88.72,63.45,false,15.615,0.121
73.94,69.74,false,14.734,0.882
58.73,73.76,false,15.390,0.656
56.98,66.77,false,15.828,0.438
98.85,75.44,false,16.208,0.380
73.57,72.41,false,15.131,1.077
93.06,76.24,false,14.978,0.152
84.73,81.44,true,10.050,4.928
71.96,84.43,true,14.598,4.547
80.32,80.73,true,15.374,0.776
69.89,79.99,false,7.017,8.357
57.64,72.91,false,15.200,8.184
90.39,74.04,false,16.564,1.363
43.15,68.28,false,15.319,1.245
74.84,67.18,false,15.410,0.092
82.53,69.71,false,15.585,0.175
58.37,69.86,false,15.555,0.030
45.18,60.82,false,4.664,10.891
98.45,71.88,false,4.294,0.370
83.29,73.57,false,13.237,8.942
89.10,74.88,false,14.461,1.224
98.74,82.96,true,14.967,0.507
53.08,84.53,true,18.424,3.457
63.42,77.53,false,16.749,1.675
68.65,74.60,false,5.221,11.528
72.68,71.31,false,10.721,5.500
87.49,69.06,false,15.920,5.199
30.02,64.45,false,15.601,0.319
46.01,60.97,false,15.551,0.050
84.14,64.07,false,15.525,0.026
63.64,62.26,false,15.757,0.232
62.97,57.35,false,15.821,0.065
36.99,58.75,false,15.236,0.586
59.86,61.52,false,15.535,0.299
30.22,50.74,false,15.484,0.051
49.06,47.82,false,15.624,0.141
37.72,42.77,false,15.493,0.131
42.71,43.91,false,15.960,0.467
87.81,49.50,false,15.034,0.926
86.45,60.75,false,15.719,0.685
60.71,63.08,false,15.321,0.399
69.15,69.36,false,15.320,0.001
71.82,75.19,false,15.240,0.079
64.08,70.44,false,15.703,0.463
59.77,65.11,false,16.000,0.296
48.77,62.72,false,3.808,12.192
64.13,61.71,false,5.413,1.605
32.85,53.92,false,6.440,1.027
92.21,59.54,false,15.382,8.942
69.77,61.55,false,15.662,0.280
97.24,71.24,false,16.648,0.987
30.36,64.49,false,15.887,0.761
63.49,70.61,false,15.465,0.422
61.65,64.50,false,15.503,0.037
87.79,68.10,false,15.660,0.157
99.59,68.57,false,15.498,0.161
81.14,78.73,false,15.658,0.160
31.75,72.38,false,16.589,0.931
62.95,72.64,false,17.316,0.727
86.54,72.39,false,18.909,1.593
61.71,64.82,false,10.229,8.680
95.91,67.77,false,15.779,5.550
89.92,79.41,false,15.755,0.024
37.22,74.26,false,15.435,0.319
77.93,72.54,false,15.592,0.156
86.24,77.45,false,15.839,0.248
87.92,75.85,false,15.988,0.149
80.74,74.01,false,15.357,0.631
93.18,85.20,true,15.244,0.113
72.20,84.05,true,15.704,0.461
87.51,84.31,true,15.343,0.362
48.93,76.51,false,15.983,0.640
90.04,78.37,false,15.745,0.238
97.09,79.15,false,15.846,0.101
99.97,84.71,true,15.739,0.107
78.14,82.83,true,15.559,0.180
61.41,85.33,true,15.445,0.114
99.06,87.13,true,15.411,0.035
55.07,78.73,false,15.329,0.081
96.58,78.05,false,5.827,9.503
51.47,72.72,false,15.480,9.653
92.48,78.93,false,14.876,0.604
56.75,70.47,false,15.441,0.565
88.10,77.08,false,15.191,0.250
38.33,65.43,false,15.929,0.738
69.21,68.98,false,15.802,0.127
89.40,68.36,false,15.669,0.133
51.59,67.33,false,15.347,0.322
91.09,67.93,false,15.552,0.205
56.25,71.51,false,15.591,0.039
41.18,65.90,false,15.996,0.406
97.25,67.47,false,15.524,0.472
94.93,76.14,false,5.602,9.922
58.47,69.62,false,10.397,4.795
94.46,77.26,false,15.675,5.277
56.08,80.24,true,15.029,0.646
44.83,69.75,false,15.674,0.645
52.55,61.28,false,16.017,0.343
40.54,57.69,false,15.678,0.340
99.00,58.60,false,16.150,0.472
31.03,53.59,false,15.414,0.736
33.37,51.30,false,15.751,0.338
49.20,50.63,false,15.742,0.010
55.10,53.54,false,15.694,0.047
89.17,51.57,false,15.534,0.161
46.94,54.76,false,15.738,0.205
32.49,54.58,false,15.634,0.105
58.84,56.51,false,15.672,0.039
64.16,58.32,false,15.352,0.321
76.27,55.74,false,15.836,0.485
96.49,65.65,false,16.071,0.234
33.72,65.90,false,15.708,0.363
35.94,61.32,false,15.558,0.149
93.64,67.21,false,15.947,0.389
31.27,58.21,false,15.790,0.157
96.36,58.18,false,15.006,0.784
97.32,70.91,false,15.506,0.500
41.01,71.92,false,15.411,0.095
90.16,71.22,false,15.678,0.267
37.07,72.38,false,15.821,0.144
77.40,68.59,false,15.501,0.320
75.49,64.22,false,15.067,0.434
51.27,66.27,false,15.590,0.523
94.96,67.23,false,15.122,0.469
51.37,70.10,false,15.318,0.196
61.86,66.99,false,15.283,0.035
38.80,59.65,false,15.791,0.508
40.51,57.50,false,5.434,10.356
77.15,53.94,false,15.363,9.929
97.83,63.23,false,15.714,0.351
60.45,62.95,false,15.728,0.014
51.15,65.42,false,15.720,0.008
71.37,71.59,false,15.666,0.054
60.44,68.25,false,15.733,0.067
69.67,62.61,false,15.543,0.190
56.01,61.73,false,15.940,0.397
39.67,59.43,false,15.612,0.328
97.64,64.69,false,15.917,0.305
30.42,58.68,false,15.794,0.123
65.01,57.75,false,15.956,0.161
42.51,55.05,false,15.452,0.504
68.47,60.81,false,15.536,0.084
53.72,52.02,false,15.014,0.523
87.62,63.47,false,15.641,0.628
95.33,69.53,false,15.825,0.184
54.80,71.99,false,13.714,2.111
86.65,75.62,false,15.275,1.561
30.49,70.98,false,10.223,5.052
91.95,71.84,false,5.967,4.257
36.30,60.04,false,15.975,10.008
91.50,67.38,false,15.601,0.374
42.07,58.46,false,15.598,0.003
53.90,63.14,false,15.546,0.052
37.52,52.26,false,15.499,0.047
41.98,53.39,false,15.407,0.092
31.75,41.44,false,15.619,0.212
63.02,45.63,false,15.758,0.138
83.29,51.51,false,15.670,0.088
89.35,61.88,false,15.778,0.108
80.44,69.57,false,15.435,0.343
76.47,78.51,false,15.332,0.103
46.32,75.17,false,15.511,0.178
46.41,67.80,false,4.516,10.994
76.44,65.22,false,12.945,8.429
89.39,67.00,false,15.802,2.857
53.91,62.49,false,15.689,0.113
87.76,70.78,false,15.862,0.173
43.47,70.19,false,15.615,0.247
40.01,62.91,false,15.507,0.108
60.13,57.06,false,14.923,0.584
63.47,58.97,false,15.567,0.644
77.47,56.91,false,15.555,0.012
58.10,59.84,false,15.464,0.091
34.55,58.74,false,15.615,0.151
37.21,54.16,false,15.420,0.195
34.62,48.39,false,15.388,0.032
51.37,43.17,false,14.973,0.415
92.45,50.04,false,15.618,0.645
91.36,61.40,false,15.651,0.033
56.72,65.30,false,15.949,0.298
99.03,78.19,false,15.758,0.192
92.48,86.41,true,15.769,0.011
91.22,86.16,true,15.569,0.200
93.97,86.68,true,16.038,0.469
62.68,87.88,true,16.001,0.037
74.37,82.94,true,15.939,0.062
80.07,80.46,true,15.915,0.024
34.07,69.03,false,14.884,1.031
40.32,58.30,false,15.658,0.774
40.14,53.79,false,15.070,0.588
92.71,57.46,false,15.693,0.623
37.58,48.96,false,15.564,0.129
34.37,49.02,false,19.048,3.484
60.46,53.05,false,15.656,3.392
45.47,54.11,false,15.717,0.061
60.66,47.71,false,15.732,0.015
38.89,47.97,false,16.660,0.927
79.44,56.98,false,15.785,0.875
30.37,50.97,false,15.616,0.168
51.66,52.20,false,15.766,0.150
98.40,59.75,false,15.822,0.056
68.08,65.59,false,15.237,0.585
73.55,64.41,false,15.620,0.383
60.15,70.37,false,14.851,0.769
87.18,77.47,false,15.580,0.729
40.48,65.89,false,15.180,0.399
48.36,61.95,false,15.349,0.169
67.55,60.75,false,16.013,0.664
61.53,61.02,false,15.400,0.612
87.06,61.00,false,16.271,0.871
74.16,67.73,false,15.246,1.025
51.52,68.36,false,14.371,0.876
70.87,69.03,false,15.117,0.746
75.91,71.90,false,3.645,11.472
67.86,68.06,false,12.231,8.586
82.48,69.73,false,15.457,3.226
72.05,73.83,false,15.584,0.127
68.34,73.33,false,15.518,0.067
55.60,69.27,false,15.696,0.178
92.34,74.16,false,15.957,0.261
36.16,64.90,false,15.127,0.830
52.04,60.90,false,15.201,0.075
75.54,62.34,false,14.748,0.453
73.19,65.85,false,16.370,1.622
98.25,67.04,false,15.042,1.328
82.81,76.37,false,15.917,0.875
59.31,77.82,false,15.777,0.140
38.43,70.40,false,16.002,0.225
91.44,74.05,false,15.607,0.396
76.67,69.73,false,15.606,0.000
60.58,65.29,false,15.740,0.133
89.99,71.42,false,16.791,1.052
46.00,72.94,false,16.098,0.693
37.78,62.20,false,15.515,0.583
55.32,57.93,false,14.988,0.527
45.13,54.84,false,15.617,0.630
62.83,49.41,false,15.421,0.196
90.61,58.33,false,15.673,0.252
34.62,57.70,false,15.763,0.090
51.33,56.90,false,15.591,0.173
51.44,58.17,false,15.555,0.035
77.28,61.06,false,15.515,0.041
79.34,58.80,false,15.854,0.339
81.70,68.22,false,15.688,0.166
71.36,72.22,false,15.315,0.373
46.90,71.32,false,15.780,0.465
53.21,66.50,false,15.167,0.613
48.22,60.28,false,15.481,0.314
99.03,63.74,false,15.533,0.051
33.77,56.23,false,15.453,0.080
45.36,55.92,false,15.459,0.006
36.94,52.66,false,15.062,0.396
84.90,60.00,false,15.377,0.315
42.03,48.60,false,15.971,0.594
38.55,49.56,false,15.766,0.205
41.14,48.71,false,15.511,0.256
73.69,56.06,false,15.315,0.196
52.94,49.67,false,15.792,0.477
81.64,57.59,false,15.386,0.406
88.26,67.53,false,15.433,0.046
72.80,73.87,false,15.698,0.265
89.41,77.01,false,14.955,0.743
39.94,74.41,false,15.631,0.676
40.11,66.10,false,15.852,0.221
91.59,66.77,false,5.224,10.627
32.16,58.64,false,11.825,6.601
89.45,58.65,false,15.639,3.814
55.39,61.74,false,15.900,0.261
58.66,65.45,false,15.594,0.306
59.72,59.08,false,15.813,0.219
79.49,68.54,false,15.486,0.327
72.84,65.22,false,15.389,0.097
84.68,71.08,false,16.024,0.635
69.67,73.28,false,15.850,0.174
36.20,68.58,false,15.197,0.652
64.79,65.63,false,15.430,0.233
65.40,64.15,false,15.908,0.477
69.75,61.16,false,15.588,0.320
78.95,63.02,false,2.918,12.670
56.23,67.02,false,15.577,12.659
46.29,63.32,false,15.649,0.072
94.93,69.23,false,15.951,0.302
88.81,73.04,false,15.122,0.829
70.33,71.32,false,15.434,0.312
37.51,67.57,false,14.882,0.553
43.78,67.07,false,15.615,0.733
35.69,55.22,false,15.173,0.442
30.11,43.48,false,15.484,0.310
86.61,46.74,false,15.114,0.370
51.79,49.60,false,15.747,0.634
52.78,51.40,false,15.028,0.720
97.82,63.82,false,15.397,0.369
97.32,77.26,false,15.174,0.223
52.66,70.47,false,15.683,0.509
56.97,71.51,false,16.217,0.534
73.58,75.67,false,15.701,0.516
30.83,62.27,false,15.605,0.096
84.07,59.62,false,15.518,0.087
98.06,68.70,false,15.610,0.092
35.27,64.36,false,14.314,1.296
79.33,65.51,false,17.522,3.208
95.79,78.50,false,15.926,1.596
31.20,67.93,false,16.248,0.322
73.05,62.93,false,15.065,1.184
34.51,62.77,false,15.662,0.597
80.68,63.04,false,15.994,0.332
94.57,62.80,false,15.841,0.153
46.00,65.76,false,15.749,0.093
59.12,62.98,false,15.391,0.358
79.97,72.07,false,15.718,0.328
34.56,62.85,false,15.640,0.078
95.40,63.01,false,15.964,0.324
70.55,67.92,false,15.175,0.789
95.11,75.12,false,16.078,0.903
95.21,78.16,false,15.762,0.317
46.65,80.58,true,15.850,0.088
98.86,81.27,true,14.983,0.867
81.95,83.55,true,15.568,0.584
70.37,78.61,false,15.338,0.230
71.91,73.95,false,16.232,0.894
58.57,76.33,false,14.705,1.527
89.31,74.42,false,15.688,0.982
53.56,68.74,false,15.894,0.206
67.55,68.18,false,16.432,0.538
94.66,72.73,false,14.707,1.724
63.73,73.76,false,15.393,0.686
37.51,63.40,false,15.244,0.149
65.92,65.87,false,16.064,0.820
82.37,68.84,false,15.481,0.583
89.11,67.73,false,15.686,0.205
91.18,73.22,false,16.119,0.432
30.40,71.80,false,15.049,1.070
79.93,74.60,false,15.784,0.735
56.58,69.44,false,6.920,8.864
48.39,61.30,false,10.077,3.157
45.11,52.08,false,15.662,5.585
37.30,53.46,false,15.159,0.503
84.20,54.32,false,15.685,0.526
54.82,53.97,false,15.547,0.138
70.71,58.43,false,15.775,0.228
77.53,64.91,false,15.269,0.506
83.83,74.22,false,15.601,0.331
68.84,71.15,false,14.920,0.681
37.31,67.64,false,15.104,0.184
65.66,66.63,false,16.233,1.130
54.24,61.98,false,17.198,0.965
42.18,53.65,false,15.601,1.597
78.34,55.55,false,15.569,0.032
48.98,57.88,false,15.423,0.146
84.53,61.66,false,14.974,0.449
46.80,60.17,false,16.024,1.051
70.80,65.89,false,15.575,0.449
50.81,60.38,false,15.104,0.471
40.09,58.61,false,15.591,0.487
89.44,59.59,false,15.780,0.189
73.67,64.96,false,15.597,0.183
53.32,61.46,false,15.267,0.330
56.45,62.59,false,15.624,0.357
60.97,66.77,false,16.044,0.420
73.19,63.52,false,15.928,0.116
89.04,66.59,false,15.720,0.208
70.59,70.05,false,15.427,0.293
37.60,66.28,false,15.857,0.430
52.46,64.58,false,16.030,0.173
78.25,65.59,false,15.514,0.516
46.15,57.01,false,16.016,0.502
86.09,60.11,false,14.853,1.164
96.90,71.97,false,15.564,0.712
52.48,71.97,false,15.245,0.319
79.77,72.28,false,3.326,11.919
41.69,71.39,false,15.739,12.412
80.66,70.30,false,15.746,0.007
91.65,69.25,false,15.430,0.316
65.95,71.95,false,15.996,0.566
81.09,72.21,false,14.839,1.156
99.31,83.73,true,15.470,0.630
32.37,74.08,false,15.204,0.266
78.35,71.41,false,15.759,0.555
64.13,71.05,false,16.011,0.252
60.32,66.90,false,15.490,0.521
61.67,59.37,false,15.508,0.018
48.71,62.64,false,15.783,0.275
44.44,55.86,false,15.864,0.081
50.78,53.19,false,15.388,0.476
74.76,56.07,false,15.780,0.391
70.02,57.74,false,15.849,0.069
86.77,65.36,false,15.440,0.409
56.51,67.77,false,12.261,3.179
97.39,77.09,false,15.338,3.077
33.81,68.90,false,15.561,0.223
